digit	weight 	volts 
1	0	0.03255
2	0	0.06223
3	0	0.022669
4	0	0.011404
5	0	0.0113407
6	0	0.0472762
7	0	0.04081
8	0	0.0507523
9	0	0.0411878
10	0	0.0487075
1	100	0.251
2	100	0.2791
3	100	0.2377
4	100	0.2389
5	100	0.1336
6	100	0.3255
7	100	0.255
8	100	0.2619
9	100	0.27722
10	100	0.2536
1	200	0.487851
2	200	0.5039
3	200	0.5243
4	200	0.4345
5	200	0.331
6	200	0.4555
7	200	0.4772
8	200	0.527
9	200	0.45967
10	200	0.4868
1	400	0.93278
2	400	0.8786
3	400	0.927973
4	400	0.816279
5	400	0.7903
6	400	0.801331
7	400	0.821226
8	400	0.951744
9	400	0.854387
10	400	0.93155
1	700	1.52457
2	700	1.40535
3	700	1.61415
4	700	1.305
5	700	1.397
6	700	1.35834
7	700	1.37087
8	700	1.5623
9	700	1.31317
10	700	1.52962
