Px	Py	CntSh	CntEl
-30	-10	87003	110202
-30	0	25882	98829
-30	10	-27906	99755
-30	20	-79084	109298
-30	30	-128612	126760
-20	-10	67139	57834
-20	0	10755	50824
-20	10	-43191	53992
-20	20	-96321	66027
-20	30	-149944	87550
-20	40	-202411	117445
-10	-20	120286	27236
-10	-10	60827	10793
-10	0	6314	4942
-10	10	-48655	8995
-10	20	-104600	22780
-10	30	-163415	47377
0	-20	120444	-18251
0	-10	64726	-34602
0	0	11192	-41123
0	10	-44123	-37738
0	20	-103454	-23432
10	-10	77560	-78391
10	0	25697	-87118
10	10	-29018	-86235
20	-10	99403	-121800
20	0	50900	-134691
20	10	-1333	-138943
30	0	85817	-182487
30	10	40031	-194384
-30	-10	87354	111548
-30	0	26197	99660
-30	10	-28118	99892
-30	20	-79275	109374
-30	30	-128804	126842
-20	-10	67202	57830
-20	0	10812	50827
-20	10	-43171	54013
-20	20	-96282	66022
-20	30	-149902	87610
-20	40	-202385	117513
-10	-20	120306	27289
-10	-10	60847	10854
-10	0	6364	5039
-10	10	-48604	8979
-10	20	-104557	22822
-10	30	-163356	47399
0	-20	120360	-18323
0	-10	64652	-34635
0	0	11109	-41105
0	10	-44166	-37759
0	20	-103513	-23455
10	-10	77521	-78415
10	0	25600	-86997
10	10	-29060	-86281
20	-10	98961	-121534
20	0	50451	-134287
20	10	-1759	-138597
30	0	85379	-182052
30	10	39620	-194030
-30	-10	86923	111630
-30	0	25787	99854
-30	10	-28283	100336
-30	20	-79472	109889
-30	30	-128937	127016
-20	-10	66991	58388
-20	0	10623	51260
-20	10	-43356	54444
-20	20	-96469	66436
-20	30	-150104	88009
-20	40	-202572	117906
-10	-20	120211	27888
-10	-10	60715	11319
-10	0	6201	5477
-10	10	-48755	9464
-10	20	-104729	23264
-10	30	-163539	47775
0	-20	120370	-17679
0	-10	64648	-34071
0	0	11089	-40592
0	10	-44243	-37225
0	20	-103555	-22931
10	-10	77187	-78105
10	0	25188	-86840
10	10	-29187	-86307
20	-10	99004	-121644
20	0	50499	-134417
20	10	-1194	-139190
30	0	85469	-182206
30	10	39668	-194232
