Px	Py	CntSh	CntEl
-30	-10	76714	109659
-30	0	15646	98457
-30	10	-38517	99150
-30	20	-89850	108917
-30	30	-139508	127193
-20	-20	120942	75690
-20	-10	56965	56647
-20	0	697	49915
-20	10	-53349	53260
-20	20	-106534	65603
-20	30	-160327	87311
-20	40	-213142	117627
-10	-20	110339	26202
-10	-10	51046	9887
-10	0	-3441	4105
-10	10	-58445	8207
-10	20	-114555	22172
-10	30	-173610	46996
0	-20	110823	-19235
0	-10	55175	-35533
0	0	1605	-42023
0	10	-53617	-38816
0	20	-113131	-24455
10	-10	68179	-79432
10	0	16350	-88276
10	10	-38285	-87619
20	-10	90249	-122924
20	0	41782	-136013
20	10	-10290	-140776
30	0	76839	-183994
30	10	31197	-196497
