-20	-30	92249	-154535
-20	-20	35629	-140541
-20	-10	-14942	-139581
-20	0	-62543	-148421
-20	10	-109224	-165945
-20	20	-153562	-191236
-10	-30	75775	-96284
-10	-20	23357	-87232
-10	-10	-27002	-88699
-10	0	-76060	-99974
-10	10	-126357	-120864
-10	20	-176005	-150560
0	-30	72353	-44183
0	-20	21640	-36034
0	-10	-29118	-38491
0	0	-80763	-50756
0	10	-135779	-74241
0	20	-192668	-109481
10	-30	78713	4957
10	-20	29593	14204
10	-10	-21128	13704
10	0	-74791	2154
10	10	-135126	-23775
20	-30	93966	52933
20	-20	47464	65674
20	-10	-1553	68880
20	0	-55770	60414
30	-30	118418	100506
30	-20	75464	118093
30	-10	30788	127783
0	0	-80777	-50744
-20	-30	92167	-154483
-20	-20	35611	-140459
-20	-10	-14932	-139586
-20	0	-62561	-148410
-20	10	-109192	-166015
-20	20	-153563	-191247
-10	-30	75773	-96367
-10	-20	23388	-87247
-10	-10	-26986	-88731
-10	0	-76098	-99960
-10	10	-126346	-121055
-10	20	-175986	-150556
0	-30	72381	-44262
0	-20	21630	-36120
0	-10	-29108	-38491
0	0	-80723	-50954
0	10	-135806	-74169
0	20	-192675	-109437
10	-30	78739	4923
10	-20	29546	14204
10	-10	-21146	13666
10	0	-74755	2157
10	10	-135090	-23779
20	-30	94027	52984
20	-20	47481	65697
20	-10	-1597	68849
20	0	-55858	60263
30	-30	118402	100478
30	-20	75561	118120
30	-10	30783	127750
0	0	-80776	-50816
