30	-20	-128059	107852
30	-10	-109218	67392
30	0	-98386	24992
30	10	-96932	-20113
20	-30	-109430	170942
20	-20	-78579	128576
20	-10	-56557	85387
20	0	-43036	41001
20	10	-38580	-3691
20	20	-44715	-51900
20	30	-62923	-105133
10	-30	-65931	189069
10	-20	-30169	141033
10	-10	-4898	93768
10	0	10645	47005
10	10	16275	1802
10	20	11962	-44361
10	30	-2651	-92882
0	-30	-20480	200560
0	-20	21644	145211
0	-10	50421	92848
0	0	66332	43473
0	10	71097	-2314
0	20	66359	-47570
0	30	51858	-93392
-10	0	126007	28639
-10	10	127797	-16609
-10	20	119806	-60020
-10	30	102993	-103198
-20	10	187100	-41970
-20	20	173501	-81788
-20	30	152539	-121144
30	-10	-107540	66507
30	0	-96823	24175
30	10	-95826	-21479
20	-30	-108007	169948
20	-20	-77107	127532
20	-10	-54903	84445
20	0	-41477	40033
20	10	-36980	-4779
20	20	-43137	-52551
20	30	-61401	-106052
10	-30	-64540	188085
10	-20	-28643	140105
10	-10	-3311	92754
10	0	12320	45915
10	10	18004	701
10	20	13767	-45442
10	30	-796	-94016
0	-30	-18922	199455
0	-20	23157	144067
0	-10	51940	91702
0	0	67814	42382
0	10	72991	-3578
0	20	68283	-48740
0	30	53635	-94489
-10	10	129532	-17984
-10	20	121549	-61444
-10	30	104810	-104462
-20	10	189072	-43396
-20	20	175394	-83144
-20	30	154269	-122371
30	-20	-126397	107084
30	-10	-107497	66483
30	0	-96886	24181
30	10	-95637	-21425
20	-30	-107959	169979
20	-20	-77069	127593
20	-10	-54824	84455
20	0	-41244	40061
20	10	-36787	-4839
20	20	-42480	-52337
20	30	-61145	-106033
10	-30	-64533	188137
10	-20	-28526	140147
10	-10	-2950	92935
10	0	12408	46040
10	10	18135	878
10	20	13966	-45271
10	30	-589	-93794
0	-30	-18978	199762
0	-20	23206	144249
0	-10	51939	91773
0	0	68100	42384
0	10	73153	-3549
0	20	68467	-48668
0	30	53803	-94673
-10	0	128026	27317
-10	10	129768	-17916
-10	20	121808	-61210
-10	30	105084	-104229
-20	10	189128	-43165
-20	20	175617	-83054
-20	30	154551	-122445
