BN	TN	startTR	trialType	fx	fy	
1	1	1	0	1.000	0.000	
1	2	1	0	2.000	0.000	
1	3	1	0	3.000	0.000	
1	4	1	0	4.000	0.000	
1	5	1	0	5.000	0.000	
1	6	1	0	-1.000	0.000	
1	7	1	0	-2.000	0.000	
1	8	1	0	-3.000	0.000	
1	9	1	0	-4.000	0.000	
1	10	1	0	-5.000	0.000	
1	11	1	0	0.000	1.000	
1	12	1	0	0.000	2.000	
1	13	1	0	0.000	3.000	
1	14	1	0	0.000	4.000	
1	15	1	0	0.000	5.000	
1	16	1	0	0.000	-1.000	
1	17	1	0	0.000	-2.000	
1	18	1	0	0.000	-3.000	
1	19	1	0	0.000	-4.000	
1	20	1	0	0.000	-5.000	
2	1	1	0	1.000	0.000	
2	2	1	0	2.000	0.000	
2	3	1	0	3.000	0.000	
2	4	1	0	4.000	0.000	
2	5	1	0	5.000	0.000	
2	6	1	0	-1.000	0.000	
2	7	1	0	-2.000	0.000	
2	8	1	0	-3.000	0.000	
2	9	1	0	-4.000	0.000	
2	10	1	0	-5.000	0.000	
2	11	1	0	0.000	1.000	
2	12	1	0	0.000	2.000	
2	13	1	0	0.000	3.000	
2	14	1	0	0.000	4.000	
2	15	1	0	0.000	5.000	
2	16	1	0	0.000	-1.000	
2	17	1	0	0.000	-2.000	
2	18	1	0	0.000	-3.000	
2	19	1	0	0.000	-4.000	
2	20	1	0	0.000	-5.000	
3	1	1	0	1.000	0.000	
3	2	1	0	2.000	0.000	
3	3	1	0	3.000	0.000	
3	4	1	0	4.000	0.000	
3	5	1	0	5.000	0.000	
3	6	1	0	-1.000	0.000	
3	7	1	0	-2.000	0.000	
3	8	1	0	-3.000	0.000	
3	9	1	0	-4.000	0.000	
3	10	1	0	-5.000	0.000	
3	11	1	0	0.000	1.000	
3	12	1	0	0.000	2.000	
3	13	1	0	0.000	3.000	
3	14	1	0	0.000	4.000	
3	15	1	0	0.000	5.000	
3	16	1	0	0.000	-1.000	
3	17	1	0	0.000	-2.000	
3	18	1	0	0.000	-3.000	
3	19	1	0	0.000	-4.000	
3	20	1	0	0.000	-5.000	
