Px	Py	CntSh	CntEl
-30	0	21633	94999
-30	10	-33086	93990
-30	20	-84516	102807
-30	30	-134295	120366
-20	-10	62424	53201
-20	0	5898	44851
-20	10	-48167	47183
-20	20	-101383	58712
-20	30	-155116	79861
-10	-20	115966	23458
-10	-10	56124	5227
-10	0	1350	-1764
-10	10	-53638	1600
-10	20	-109680	14911
-10	30	-168459	39023
0	-20	115803	-23054
0	-10	59799	-40717
0	0	6035	-48005
0	10	-49263	-45463
0	20	-108598	-31794
0	30	-173488	-4689
10	-20	125370	-66044
10	-10	72573	-84962
10	0	20514	-94469
10	10	-34118	-94458
10	20	-95001	-82406
20	-10	93861	-128507
20	0	45208	-142079
20	10	-7038	-147199
30	0	79894	-189871
30	10	33822	-201538
-30	0	21249	94828
-30	10	-33332	94116
-30	20	-84851	102981
-30	30	-134588	120487
-20	-10	62247	53375
-20	0	5582	45042
-20	10	-48483	47379
-20	20	-101840	58840
-20	30	-155482	80038
-10	-20	115513	23449
-10	-10	55799	5249
-10	0	1077	-1645
-10	10	-53983	1703
-10	20	-109928	15029
-10	30	-168778	39115
0	-20	115719	-23040
0	-10	59657	-40702
0	0	6234	-48083
0	10	-49407	-45425
0	20	-108795	-31671
0	30	-173586	-4792
10	-20	125327	-66174
10	-10	72509	-84966
10	0	20509	-94532
10	10	-34210	-94442
10	20	-94926	-82522
20	-10	94047	-128550
20	0	45462	-142305
20	10	-6709	-147385
30	-10	124181	-170930
30	0	79953	-190018
