Px	Py	CntSh	CntEl
-30	-10	88835	115737
-30	0	27277	102461
-30	10	-27163	101967
-30	20	-78438	111015
-30	30	-128074	127884
-20	-20	125635	76955
-20	-10	68278	60852
-20	0	11707	52997
-20	10	-42292	55700
-20	20	-95503	67334
-20	30	-149199	88502
-20	40	-201779	118071
-10	-20	121310	30516
-10	-10	61634	13156
-10	0	7041	6847
-10	10	-47970	10430
-10	20	-103980	23816
-10	30	-162819	47938
0	-20	121358	-15413
0	-10	65462	-32490
0	0	11790	-39282
0	10	-43445	-36274
0	20	-102847	-22470
10	-10	78189	-76264
10	0	26283	-85373
10	10	-28743	-85155
20	-10	99624	-119981
20	0	51059	-133072
20	10	-1154	-137656
30	0	85867	-180747
30	10	40037	-193142
