Px	Py	CntSh	CntEl
-30	0	-85827	188318
-20	-10	-99108	126749
-20	0	-50480	140173
-20	10	954	144917
-10	-10	-77351	83580
-10	0	-25594	92630
-10	10	29311	92776
0	-20	-119991	14703
0	-10	-64130	31815
0	0	-10390	38870
0	10	44783	35877
0	20	104198	22582
10	-20	-119268	-5482
10	-10	-59844	6773
10	0	-4912	14807
10	10	49758	22133
10	20	106090	306
10	30	165029	-15714
20	-10	-66183	-25999
20	0	-9434	-20347
20	10	44970	-20740
20	20	98031	-27670
20	30	151711	-41092
20	40	205115	-61817
30	-10	-85514	-54024
30	0	-24375	-46064
30	10	29936	-45235
30	20	81121	-51629
30	30	130380	-64111
-30	0	-85813	193374
-20	-10	-99134	131782
-20	0	-50485	145271
-20	10	926	150077
-10	-10	-77374	88750
-10	0	-25650	97845
-10	10	29175	97670
0	-20	-120021	29737
0	-10	-64092	55240
0	0	-10281	63083
0	10	44798	60250
0	20	104400	46592
10	-20	-119258	-5068
10	-10	-60082	5768
10	0	-5124	10044
10	10	49550	7958
10	20	105845	-907
10	30	164900	-18738
20	-10	-66217	-27735
20	0	-9674	-22114
20	10	44796	-24919
20	20	97764	-33791
20	30	151424	-47849
20	40	204867	-68095
30	-10	-85589	-65948
30	0	-24399	-58047
30	10	29872	-58448
30	20	81077	-65371
30	30	130369	-77527
