BN	TN	side	volts0	volts1	
1	1	0	1.000	0.000	
1	2	0	-1.000	0.000	
1	3	0	0.000	1.000	
1	4	0	0.000	-1.000	
1	5	0	1.000	1.000	
1	6	0	-1.000	1.000	
1	7	0	1.000	-1.000	
1	8	0	-1.000	-1.000	
1	9	0	2.000	0.000	
1	10	0	-2.000	0.000	
1	11	0	0.000	2.000	
1	12	0	0.000	-2.000	
1	13	0	2.000	2.000	
1	14	0	-2.000	2.000	
1	15	0	2.000	-2.000	
1	16	0	-2.000	-2.000	
2	1	0	1.000	0.000	
2	2	0	-1.000	0.000	
2	3	0	0.000	1.000	
2	4	0	0.000	-1.000	
2	5	0	1.000	1.000	
2	6	0	-1.000	1.000	
2	7	0	1.000	-1.000	
2	8	0	-1.000	-1.000	
2	9	0	2.000	0.000	
2	10	0	-2.000	0.000	
2	11	0	0.000	2.000	
2	12	0	0.000	-2.000	
2	13	0	2.000	2.000	
2	14	0	-2.000	2.000	
2	15	0	2.000	-2.000	
2	16	0	-2.000	-2.000	
3	1	0	1.000	0.000	
3	2	0	-1.000	0.000	
3	3	0	0.000	1.000	
3	4	0	0.000	-1.000	
3	5	0	1.000	1.000	
3	6	0	-1.000	1.000	
3	7	0	1.000	-1.000	
3	8	0	-1.000	-1.000	
3	9	0	2.000	0.000	
3	10	0	-2.000	0.000	
3	11	0	0.000	2.000	
3	12	0	0.000	-2.000	
3	13	0	2.000	2.000	
3	14	0	-2.000	2.000	
3	15	0	2.000	-2.000	
3	16	0	-2.000	-2.000	
4	1	0	1.000	0.000	
4	2	0	-1.000	0.000	
4	3	0	0.000	1.000	
4	4	0	0.000	-1.000	
4	5	0	1.000	1.000	
4	6	0	-1.000	1.000	
4	7	0	1.000	-1.000	
4	8	0	-1.000	-1.000	
4	9	0	2.000	0.000	
4	10	0	-2.000	0.000	
4	11	0	0.000	2.000	
4	12	0	0.000	-2.000	
4	13	0	2.000	2.000	
4	14	0	-2.000	2.000	
4	15	0	2.000	-2.000	
4	16	0	-2.000	-2.000	
5	1	0	1.000	0.000	
5	2	0	-1.000	0.000	
5	3	0	0.000	1.000	
5	4	0	0.000	-1.000	
5	5	0	1.000	1.000	
5	6	0	-1.000	1.000	
5	7	0	1.000	-1.000	
5	8	0	-1.000	-1.000	
5	9	0	2.000	0.000	
5	10	0	-2.000	0.000	
5	11	0	0.000	2.000	
5	12	0	0.000	-2.000	
5	13	0	2.000	2.000	
5	14	0	-2.000	2.000	
5	15	0	2.000	-2.000	
5	16	0	-2.000	-2.000	
