0	0	-25990	-56661
-20	-10	45533	-162336
-20	0	-5816	-159312
-20	10	-53395	-166146
-20	20	-98955	-182136
-10	-20	82627	-118122
-10	-10	29461	-106939
-10	0	-20865	-107273
-10	10	-69743	-117288
-10	20	-118450	-136405
-10	30	-166000	-164226
0	-30	130791	-85279
0	-20	75203	-63931
0	-10	24517	-55067
0	0	-25893	-56450
0	10	-77316	-68293
0	20	-130277	-90286
0	30	-184410	-122918
10	-30	130012	-34016
10	-20	78498	-14320
10	-10	29000	-5166
10	0	-21368	-5731
10	10	-74728	-17289
10	20	-132733	-41691
10	30	-195064	-79546
20	-20	91026	34333
20	-10	43677	46019
20	0	-6261	48190
20	10	-60329	39120
30	-20	112501	82115
30	-10	68361	97874
30	0	22061	106106
40	-10	103012	149823
0	0	-26024	-56766
-20	-10	45614	-162387
-20	0	-5668	-159194
-20	10	-53342	-166173
-20	20	-98970	-182225
-10	-20	82419	-117845
-10	-10	29562	-106834
-10	0	-21028	-107233
-10	10	-69598	-117295
-10	20	-118305	-136337
-10	30	-165948	-164052
0	-30	130797	-85210
0	-20	75132	-64064
0	-10	24126	-55093
0	0	-26284	-56569
0	10	-77508	-68186
0	20	-130323	-90350
0	30	-184321	-122943
10	-30	130070	-33995
10	-20	78401	-14304
10	-10	28894	-5357
10	0	-21502	-6182
10	10	-74906	-17556
10	20	-132921	-41601
10	30	-195166	-79574
20	-20	91030	34288
20	-10	43705	45991
20	0	-6312	48196
20	10	-60369	39034
30	-20	112056	81946
30	-10	68027	97766
30	0	21666	105932
40	-10	102755	149813
