startTR	endTime	finger	weight	announce	BN	TN	meanV1	meanV2	meanV3	meanV4	meanV5	meanV6	meanV7	meanV8	meanV9	meanV10
  1	500	 1	   0	1	10	  1	-0.0056402	0.060158	-0.018023	-0.018064	0.018135	 0.12362	-0.017998	-0.017988	 -0.01814	0.00083747
  2	500	 1	 500	1	10	  2	-0.0055263	0.060341	-0.017887	-0.017922	0.018183	 0.11974	-0.017903	-0.017963	-0.018023	0.00098613
  3	500	 1	1000	1	10	  3	-0.0055548	 0.06025	-0.017969	-0.017979	0.018066	 0.12045	-0.017912	-0.018102	-0.018194	0.00079319
  4	500	 1	1500	1	10	  4	-0.0055738	0.060297	-0.017833	-0.017874	0.018129	 0.12012	-0.017947	-0.017995	-0.018036	0.00094501
  5	500	 1	2000	1	10	  5	-0.0056971	0.060215	 -0.01807	-0.017982	0.018025	 0.12031	-0.018051	-0.018083	-0.018124	0.00082482
  6	500	 2	   0	1	10	  6	-0.0054378	0.060332	-0.017897	-0.017846	0.018183	 0.12003	-0.017742	-0.017862	-0.017998	0.00097031
  7	500	 2	 500	1	10	  7	-0.0055927	0.060281	 -0.01802	-0.017982	0.017949	 0.12041	-0.017991	-0.018089	-0.018124	0.00082482
  8	500	 2	1000	1	10	  8	-0.0056813	 0.06024	-0.017957	-0.018077	0.017879	 0.11384	-0.018064	-0.018067	-0.018216	0.00076156
  9	500	 2	1500	1	10	  9	-0.0055833	0.060354	-0.017897	-0.017824	 0.01805	 0.11615	 -0.01796	 -0.01795	-0.018029	0.00098613
 10	500	 2	2000	1	10	 10	-0.0057224	0.060281	-0.018017	-0.017931	0.017936	 0.11652	-0.018077	-0.018077	-0.018127	0.00083114
 11	500	 3	   0	1	10	 11	-0.0055421	0.060436	-0.017833	-0.017779	0.018094	 0.11771	-0.017903	-0.017934	-0.017931	0.00099562
 12	500	 3	 500	1	10	 12	-0.0054567	0.060307	-0.018001	-0.017919	 0.01798	 0.11818	-0.018017	-0.018048	-0.018074	0.00086277
 13	500	 3	1000	1	10	 13	-0.0055611	0.060316	  -0.0179	-0.017893	0.018028	  0.1185	-0.017934	-0.017976	-0.018074	0.00091654
 14	500	 3	1500	1	10	 14	  -0.00552	 0.06036	-0.017906	-0.017884	0.017984	 0.11914	-0.017919	-0.018007	-0.018105	0.00084063
 15	500	 3	2000	1	10	 15	  -0.00552	0.060348	-0.017957	-0.017928	0.017955	 0.12125	-0.017922	-0.017947	-0.018045	0.00088175
 16	500	 4	   0	1	10	 16	-0.0056117	0.060335	-0.017969	-0.018001	0.018015	 0.12121	-0.017912	-0.017991	-0.018112	0.00094185
 17	500	 4	 500	1	10	 17	-0.0056465	0.060275	-0.017979	-0.018039	 0.01786	 0.12149	-0.017928	-0.017982	-0.018064	0.00080584
 18	500	 4	1000	1	10	 18	-0.0055611	0.060386	-0.017912	 -0.01789	0.017993	 0.12198	-0.017897	-0.017915	-0.017988	0.00099878
 19	500	 4	1500	1	10	 19	-0.0056434	0.060319	 -0.01801	-0.017982	0.017816	 0.12239	-0.017919	-0.018074	-0.018064	0.00085328
 20	500	 4	2000	1	10	 20	 -0.005637	0.060231	-0.017957	-0.017985	 0.01793	  0.1231	-0.017972	-0.017979	-0.018105	0.00085645
 21	500	 5	   0	1	10	 21	-0.0055516	0.060389	-0.017881	-0.017849	0.017974	  0.1234	-0.017862	-0.017938	-0.017985	 0.0010272
 22	500	 5	 500	1	10	 22	-0.0055295	0.060272	-0.018023	 -0.01801	0.017832	 0.12347	-0.018004	 -0.01807	-0.018165	0.00085961
 23	500	 5	1000	1	10	 23	-0.0055738	0.060351	 -0.01796	-0.017865	0.017898	 0.12389	-0.017893	-0.017941	-0.018099	0.00096399
 24	500	 5	1500	1	10	 24	-0.0056339	 0.06025	-0.018014	-0.017979	0.017788	 0.42596	-0.018014	-0.017991	-0.018099	0.00077421
 25	500	 5	2000	1	10	 25	-0.0057034	0.060253	-0.018007	-0.018007	0.017633	 0.12261	-0.018026	-0.018127	-0.018162	0.00081217
 26	500	 6	   0	1	10	 26	-0.0057382	0.060307	-0.018115	-0.018029	0.018534	 0.38088	-0.018077	-0.018051	 -0.01815	 0.0007837
 27	500	 6	 500	1	10	 27	-0.0057193	0.060101	-0.018327	-0.018333	0.017721	  4.4363	-0.018336	-0.018333	-0.018406	0.00059392
 28	500	 6	1000	1	10	 28	-0.0071647	0.058482	-0.018425	-0.018393	0.016348	  4.6354	-0.018399	-0.018425	-0.018605	 0.0004168
 29	500	 6	1500	1	10	 29	 -0.006529	0.057324	-0.018346	-0.018289	0.016307	  4.6355	-0.018314	 -0.01839	-0.018441	0.00059076
 30	500	 6	2000	1	10	 30	-0.0064531	0.057017	-0.018238	-0.018235	 0.01669	  4.6354	-0.018314	-0.018282	 -0.01832	0.00060025
 31	500	 7	   0	1	10	 31	-0.0053682	0.057628	-0.017767	-0.017833	0.015381	0.030854	-0.017757	-0.015385	-0.017944	  0.029067
